CSDUID,Population,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type
3523001,7634,43.4646186,-80.1948112,3.0,2400.0,2.0,1.0,0.0,0.0,0.0,700.0,2.0
3523043,9652,43.8572672,-80.7879407,1.0,1295.0,1.0,1.0,0.0,0.0,1.0,600.0,2.0
3523043,9652,43.8339361,-80.8461255,1.0,1500.0,1.0,1.0,0.0,1.0,1.0,750.0,2.0
3531013,3850,43.4038428,-81.0616015,1.0,1200.0,1.0,1.0,0.0,0.0,1.0,800.0,2.0
3531016,7916,43.2619202,-81.1398039,1.0,1550.0,1.0,1.0,0.0,0.0,0.0,600.0,2.0
3531016,7916,43.2619202,-81.1398039,1.0,1550.0,1.0,1.0,0.0,0.0,0.0,600.0,2.0
3531025,9672,43.466763,-81.19611,1.0,1200.0,1.0,1.0,1.0,1.0,1.0,600.0,1.0
3531025,9672,43.466763,-81.19611,1.0,1400.0,1.0,1.0,1.0,1.0,1.0,700.0,1.0
3531025,9672,43.4680977,-81.1979393,1.0,1449.0,1.0,1.0,1.0,1.0,1.0,800.0,2.0
3532012,8338,43.0249622,-80.7768613,1.0,895.0,1.0,1.0,0.0,0.0,0.0,450.0,2.0
3532027,9107,43.0829435,-81.0202533,3.0,1300.0,1.0,1.0,1.0,1.0,1.0,800.0,1.0
3532038,8270,43.3188405,-80.8352309,1.0,850.0,1.0,1.0,1.0,1.0,1.0,650.0,2.0
3532045,8303,43.3317599,-80.593833,1.0,1300.0,1.0,1.0,1.0,1.0,1.0,600.0,2.0
3534011,8274,42.7769012,-80.9866757,1.0,1000.0,1.0,1.0,1.0,1.0,1.0,800.0,2.0
3534011,8274,42.7784414,-80.9879707,1.0,1450.0,2.0,1.0,0.0,0.0,0.0,750.0,2.0
3534011,8274,42.7778793,-80.9879757,4.0,1750.0,2.0,1.0,1.0,1.0,1.0,900.0,2.0
3538019,6129,42.8848176,-82.1493924,1.0,1450.0,2.0,1.0,0.0,0.0,1.0,900.0,2.0
3538019,6129,42.8816227,-82.150795,6.0,1500.0,2.0,1.0,0.0,0.0,0.0,900.0,2.0
3538019,6129,42.8818379,-82.1444338,1.0,1450.0,2.0,1.0,0.0,0.0,1.0,850.0,2.0
3538031,2019,43.0003448,-82.4131423,3.0,1800.0,2.0,1.0,1.0,1.0,1.0,900.0,2.0
3539041,6741,43.1470282,-81.5337693,3.0,1600.0,1.0,1.0,1.0,1.0,1.0,900.0,1.0
3539060,5832,43.1909469,-81.4022476,1.0,1175.0,1.0,1.0,0.0,0.0,1.0,600.0,2.0
3540010,8034,43.4313739,-81.510504,1.0,1450.0,1.0,1.0,1.0,1.0,1.0,800.0,2.0
3540010,8034,43.4218727,-81.6254497,1.0,1250.0,2.0,1.0,0.0,0.0,1.0,900.0,2.0
3540010,8034,43.5609071,-81.6960075,6.0,1700.0,1.0,1.0,1.0,1.0,1.0,700.0,2.0
3540028,8454,43.7363519,-81.7069893,1.0,1340.0,1.0,1.0,0.0,0.0,0.0,650.0,2.0
3540028,8454,43.7434946,-81.7121255,1.0,1800.0,1.0,1.0,0.0,0.0,0.0,925.0,2.0
3540028,8454,43.7363519,-81.7069893,1.0,1350.0,1.0,1.0,0.0,0.0,0.0,650.0,2.0
3540040,9850,43.7444279,-81.2498314,1.0,1050.0,1.0,1.0,0.0,1.0,1.0,500.0,2.0
3540055,5271,43.8879476,-81.3116601,1.0,1089.0,1.0,1.0,0.0,0.0,1.0,350.0,2.0
3541015,8424,43.9633993,-81.5130095,1.0,1250.0,1.0,1.0,0.0,0.0,1.0,750.0,2.0
3541015,8424,43.9619076,-81.5109482,1.0,1100.0,1.0,1.0,0.0,1.0,1.0,500.0,2.0
3541015,8424,43.9633993,-81.5130095,1.0,1300.0,1.0,1.0,0.0,0.0,1.0,800.0,2.0
3541043,7627,44.3048394,-81.2722514,1.0,1095.0,1.0,1.0,0.0,0.0,1.0,700.0,1.0
3541055,9434,44.7386461,-81.13094,1.0,1100.0,2.0,1.0,0.0,0.0,1.0,700.0,2.0
3541055,9434,44.67796,-81.25754,1.0,1350.0,1.0,1.0,1.0,1.0,1.0,750.0,1.0
3541055,9434,44.642183,-81.2683163,2.0,1600.0,2.0,1.0,1.0,1.0,1.0,800.0,1.0
3541055,9434,44.6373764,-81.268918,2.0,500.0,2.0,1.0,1.0,1.0,1.0,500.0,1.0
3542029,8503,44.1530174,-81.0308675,1.0,1725.0,2.0,1.0,0.0,1.0,1.0,850.0,2.0
3542029,8503,44.1530174,-81.0308675,1.0,1615.0,2.0,1.0,0.0,1.0,1.0,670.0,2.0
3542029,8503,44.1530174,-81.0308675,1.0,1470.0,1.0,1.0,0.0,1.0,1.0,500.0,2.0
3542029,8503,44.1441801,-81.0238347,1.0,1600.0,2.0,1.0,0.0,1.0,1.0,766.0,2.0
3542029,8503,44.1530174,-81.0308675,1.0,1595.0,1.0,1.0,0.0,1.0,1.0,500.0,2.0
3542029,8503,44.1523806,-81.0329134,1.0,1725.0,2.0,1.0,0.0,1.0,1.0,850.0,2.0
3542029,8503,44.1441801,-81.0238347,1.0,1535.0,1.0,1.0,0.0,1.0,1.0,650.0,2.0
3542029,8503,44.1530174,-81.0308675,1.0,1700.0,2.0,1.0,0.0,1.0,1.0,670.0,2.0
3542029,8503,44.1540728,-81.0318813,6.0,1650.0,2.0,1.0,0.0,1.0,1.0,700.0,2.0
3542037,7430,44.4606486,-80.9007615,6.0,1800.0,2.0,1.0,1.0,1.0,1.0,700.0,1.0
3542045,9290,44.5617896,-80.4529392,3.0,1900.0,1.0,1.0,1.0,1.0,0.0,600.0,2.0
3542045,9290,44.5567766,-80.4882672,1.0,1350.0,1.0,1.0,1.0,1.0,1.0,450.0,2.0
3542045,9290,44.5332533,-80.3413717,4.0,2600.0,1.0,1.0,1.0,0.0,1.0,900.0,0.0
3542045,9290,44.5037224,-80.3094719,4.0,2800.0,2.0,2.0,0.0,0.0,0.0,848.0,2.0
3542045,9290,44.4998694,-80.3087037,1.0,1300.0,1.0,1.0,0.0,1.0,1.0,500.0,2.0
3542045,9290,44.4999031,-80.2858597,4.0,2650.0,2.0,2.0,1.0,0.0,0.0,920.0,2.0
3542045,9290,44.5332533,-80.3413717,4.0,2300.0,1.0,1.0,1.0,0.0,1.0,900.0,0.0
3542045,9290,44.5016513,-80.287161,4.0,2575.0,2.0,2.0,0.0,0.0,0.0,950.0,2.0
3542045,9290,44.4989036,-80.2873256,4.0,2650.0,2.0,2.0,0.0,0.0,0.0,848.0,2.0
3544053,7521,45.0731829,-79.3847509,1.0,1000.0,0.5,1.0,1.0,1.0,1.0,650.0,1.0
3544053,7521,45.1575161,-79.6581637,6.0,2200.0,2.0,1.0,0.0,0.0,0.0,900.0,2.0
3547003,7602,45.4434424,-76.3707658,1.0,1400.0,1.0,1.0,0.0,0.0,1.0,600.0,2.0
3547003,7602,45.3574832,-76.486381,1.0,1195.0,1.5,1.0,0.0,0.0,1.0,550.0,2.0
3547035,3841,45.5371257,-77.0972647,1.0,1075.0,2.0,1.0,0.0,0.0,1.0,800.0,2.0
3547048,8298,45.4749199,-76.6877186,2.0,1700.0,2.0,1.0,1.0,1.0,1.0,850.0,2.0
3547048,8298,45.4713045,-76.697681,5.0,1400.0,2.0,1.0,0.0,0.0,1.0,800.0,2.0
3547048,8298,45.4762162,-76.6951444,2.0,1750.0,4.0,1.0,0.0,0.0,0.0,700.0,2.0
3547070,3306,45.6863084,-77.1419909,1.0,2000.0,2.0,1.0,0.0,0.0,0.0,950.0,2.0
3547070,3306,45.6863084,-77.1419909,1.0,1800.0,2.0,1.0,0.0,0.0,0.0,950.0,2.0
3547075,9942,45.8184714,-77.1423893,2.0,2000.0,3.0,1.0,0.0,0.0,0.0,800.0,2.0
3547096,4301,46.0999474,-77.4891968,1.0,1400.0,2.0,1.0,0.0,0.0,0.0,700.0,2.0
3547096,4301,46.1075598,-77.5061484,4.0,1750.0,2.0,1.0,1.0,1.0,1.0,850.0,2.0
3549014,2761,45.5362275,-79.2655035,1.0,1050.0,1.0,1.0,0.0,1.0,0.0,600.0,2.0
3549014,2761,45.4572214,-79.2475094,1.0,1500.0,2.5,1.0,0.0,0.0,1.0,680.0,2.0
3549032,6909,45.3407072,-80.0315481,1.0,1195.0,1.5,1.0,0.0,0.0,0.0,750.0,2.0
3549046,1689,45.7773323,-79.3693655,1.0,1250.0,2.0,1.0,0.0,0.0,1.0,800.0,2.0
3549060,3655,46.0807239,-79.368324,1.0,1400.0,1.0,1.0,1.0,1.0,1.0,700.0,2.0
3549060,3655,45.9868949,-79.359553,1.0,1100.0,0.5,1.0,1.0,1.0,1.0,400.0,1.0
3549066,4083,46.222198,-79.366393,1.0,1000.0,1.0,1.0,1.0,1.0,1.0,600.0,1.0
3549066,4083,46.222198,-79.366393,1.0,1500.0,1.0,1.0,0.0,0.0,1.0,700.0,1.0
3549096,2304,45.9543402,-79.6063704,1.0,1050.0,1.0,1.0,0.0,1.0,1.0,600.0,2.0
3549096,2304,45.8252067,-79.5996102,2.0,1300.0,1.0,1.0,0.0,0.0,1.0,640.0,2.0
3549096,2304,45.7705912,-80.5738542,2.0,2000.0,3.0,1.0,0.0,0.0,0.0,700.0,1.0
3554068,8229,48.1455815,-80.0394765,1.0,950.0,2.0,1.0,1.0,1.0,1.0,700.0,1.0
3554068,8229,48.1433852,-80.0394531,1.0,1100.0,2.0,1.0,1.0,0.0,1.0,900.0,2.0
3554068,8229,48.1433852,-80.0394531,1.0,1350.0,2.0,1.0,1.0,0.0,1.0,900.0,2.0
3554068,8229,48.1543978,-80.0228628,1.0,800.0,1.0,1.0,1.0,1.0,1.0,500.0,1.0
3556031,4539,48.7589049,-80.6903384,1.0,750.0,1.0,1.0,1.0,1.0,1.0,600.0,1.0
3556031,4539,48.703772,-80.7839544,1.0,1100.0,2.0,1.0,0.0,1.0,1.0,750.0,2.0
3556066,8342,49.4112043,-82.4044824,2.0,1500.0,2.0,1.5,0.0,0.0,0.0,900.0,2.0
3557038,3622,46.1864276,-82.9541373,1.0,750.0,1.0,1.0,1.0,1.0,1.0,500.0,2.0
3558051,1055,48.8158836,-87.2684336,5.0,850.0,2.0,1.0,0.0,0.0,1.0,750.0,2.0
3558075,4323,49.7244094,-86.9501357,1.0,850.0,0.5,1.0,1.0,1.0,1.0,400.0,2.0
3558075,4323,49.781666,-86.534706,1.0,850.0,1.0,1.0,1.0,1.0,1.0,780.0,2.0
3558090,6113,48.9532461,-88.6958515,2.0,1248.0,3.0,1.0,0.0,0.0,1.0,600.0,2.0
3558090,6113,48.8356718,-87.5122878,2.0,1500.0,1.0,1.0,1.0,1.0,1.0,500.0,1.0
3559012,7749,48.6121155,-93.3911282,1.0,1400.0,1.0,1.0,1.0,1.0,1.0,900.0,2.0
3559012,7749,48.6121155,-93.3911282,1.0,1400.0,1.0,1.0,1.0,1.0,1.0,900.0,2.0
3559012,7749,48.610134,-93.3972146,1.0,1200.0,1.0,1.0,1.0,1.0,1.0,600.0,2.0
3559012,7749,48.6099494,-93.3955282,1.0,1200.0,1.0,1.0,1.0,1.0,1.0,500.0,1.0
3559012,7749,48.6121155,-93.3911282,1.0,1400.0,1.5,1.0,1.0,1.0,1.0,900.0,2.0
